Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NumCompaniesWorked;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
45;No;Travel_Rarely;1132;Research & Development;1;3;Medical;3;Female;48;4;3;Healthcare Representative;4;Divorced;23333;10942;0;Y;No;17;30.0;1;;3;19;2;2;5;10;3;7
32;No;Travel_Rarely;574;Research & Development;11;3;Life Sciences;1;Female;30;3;3;Healthcare Representative;3;Married;3312;16873;1;Y;No;17;;2;;1;10;3;3;3;9;0;9
34;No;Travel_Frequently;644;Research & Development;1;4;Medical;4;Female;97;3;3;Healthcare Representative;1;Divorced;4444;12368;7;;No;16;30.0;3;800.0;1;17;2;3;11;2;0;3
35;No;Travel_Rarely;755;Research & Development;9;4;Life Sciences;3;Male;97;2;2;Healthcare Representative;2;Single;10221;19394;9;Y;No;19;40.0;3;800.0;0;10;3;3;8;1;0;0
46;No;Travel_Rarely;135;Research & Development;18;4;Medical;3;Male;62;3;2;Healthcare Representative;2;Married;5562;12992;3;;Yes;14;30.0;4;;2;17;2;3;10;7;6;7
41;No;Travel_Rarely;1296;Research & Development;6;3;Life Sciences;3;Female;30;3;2;Healthcare Representative;4;Divorced;3376;5335;3;Y;No;23;30.0;3;;1;15;2;1;10;11;4;7
36;No;Travel_Rarely;530;Research & Development;1;4;Life Sciences;3;Male;78;2;4;Healthcare Representative;2;Married;1081;14115;1;Y;No;22;30.0;4;;1;22;3;2;1;3;11;11
55;Yes;Travel_Rarely;621;Research & Development;15;3;Medical;1;Male;73;3;3;Healthcare Representative;4;Married;10239;14075;1;;No;11;30.0;4;800.0;1;10;4;3;1;7;0;5
26;No;Travel_Rarely;1069;Research & Development;1;3;Life Sciences;2;Female;42;2;2;Healthcare Representative;4;Single;35075;12291;0;Y;No;14;40.0;1;;0;6;2;3;8;0;1;4
27;No;Travel_Rarely;670;Research & Development;10;4;Medical;1;Female;51;3;2;Healthcare Representative;3;Single;3517;4223;3;Y;Yes;16;30.0;3;;0;10;2;3;3;2;0;4
29;No;Travel_Rarely;408;Research & Development;2;4;Technical Degree;4;Female;80;2;2;Healthcare Representative;3;Single;2800;20978;1;;No;11;30.0;1;800.0;0;20;3;3;3;7;11;10
53;No;Travel_Rarely;288;Research & Development;2;3;Life Sciences;3;Female;99;2;2;Healthcare Representative;4;Married;10934;15830;1;Y;No;19;30.0;1;;3;11;2;3;5;10;10;8
36;No;Travel_Frequently;1495;Research & Development;10;3;Medical;3;Female;76;3;2;Healthcare Representative;3;Married;5257;22174;3;Y;No;19;30.0;3;800.0;1;18;3;3;9;0;0;0
45;No;Non-Travel;1368;Research & Development;28;4;Technical Degree;4;Male;88;2;2;Healthcare Representative;4;Married;4447;4386;0;;No;11;30.0;4;;3;7;5;4;9;5;0;4
36;No;Travel_Rarely;1029;Research & Development;16;3;Life Sciences;4;ND;91;2;3;Healthcare Representative;2;Single;2660;21195;1;Y;No;19;30.0;4;800.0;0;11;2;1;2;8;3;3
48;No;Travel_Rarely;509;Research & Development;2;4;Other;1;Female;62;2;2;Healthcare Representative;3;Single;12504;2112;2;;Yes;17;40.0;1;;0;10;3;3;0;7;0;7
36;No;Travel_Rarely;288;Research & Development;2;3;Life Sciences;4;Female;40;3;3;Healthcare Representative;4;Married;3291;18611;2;Y;Yes;14;;3;800.0;1;24;2;1;7;8;13;9
36;No;Travel_Frequently;208;Research & Development;8;4;Life Sciences;3;Female;52;3;2;Healthcare Representative;3;Married;2157;12250;1;;No;12;30.0;4;;1;15;5;3;3;11;2;9
38;No;Travel_Rarely;1463;Research & Development;23;3;Medical;2;Male;64;2;2;Healthcare Representative;4;Married;4855;14408;0;;No;21;30.0;2;800.0;1;10;2;3;5;0;7;8
26;No;Travel_Rarely;1385;Research & Development;20;2;Medical;3;Male;79;3;4;Healthcare Representative;4;Married;2373;7501;0;Y;Yes;14;30.0;2;;0;21;2;3;3;7;4;10
36;No;Travel_Rarely;1425;Research & Development;14;1;Life Sciences;3;Female;68;3;2;Healthcare Representative;4;Married;4502;4821;0;Y;Yes;17;30.0;1;800.0;1;17;2;2;13;8;4;11
23;No;Travel_Rarely;1261;Research & Development;7;3;Other;2;Male;31;2;3;Healthcare Representative;3;Single;3505;12066;8;Y;No;24;30.0;3;800.0;0;26;3;3;2;2;0;0
28;No;Travel_Rarely;367;Research & Development;25;2;Medical;3;Male;52;2;2;Healthcare Representative;4;Divorced;2408;17171;7;Y;No;13;30.0;3;800.0;2;9;3;3;1;2;1;3
23;No;Travel_Rarely;1459;Research & Development;10;4;Other;4;Male;41;3;2;Healthcare Representative;4;Married;2904;19121;2;Y;Yes;13;;4;800.0;0;9;2;4;4;2;1;3
31;No;Travel_Rarely;1097;Research & Development;11;2;Medical;3;Male;79;2;3;Healthcare Representative;1;Married;6172;8302;2;Y;Yes;13;30.0;3;;1;10;3;3;7;0;2;3
23;No;Travel_Rarely;1355;Research & Development;4;4;Life Sciences;3;Male;78;2;3;Healthcare Representative;3;Single;1601;22245;7;Y;No;14;40.0;2;800.0;0;27;2;3;0;11;4;8
46;No;Travel_Rarely;613;Research & Development;6;1;Medical;4;Male;42;2;3;Healthcare Representative;1;Married;27247;21457;4;;No;15;30.0;1;;1;9;3;3;6;7;1;7
29;No;Travel_Rarely;1199;Research & Development;18;4;Life Sciences;3;Male;80;3;2;Healthcare Representative;3;Married;4262;24594;1;Y;Yes;14;30.0;4;800.0;2;10;2;4;3;2;0;2
54;No;Travel_Rarely;827;Research & Development;1;4;Other;3;Female;84;4;2;Healthcare Representative;2;Married;5485;20161;1;Y;Yes;13;30.0;1;;1;6;4;3;5;5;1;2
38;No;Travel_Rarely;1034;Research & Development;18;1;Medical;1;Male;86;3;3;Healthcare Representative;3;Married;9924;8984;5;Y;No;11;30.0;4;;0;28;3;2;9;2;1;2
25;No;Travel_Rarely;1229;Research & Development;4;4;Life Sciences;4;Female;30;3;2;Healthcare Representative;3;Married;2187;16143;0;;Yes;16;30.0;2;800.0;0;4;3;3;2;2;1;2
31;No;Travel_Rarely;616;Research & Development;12;3;Medical;4;Female;41;3;2;Healthcare Representative;4;Married;5468;17369;0;Y;Yes;11;30.0;3;;2;10;3;1;12;7;8;5
19;No;Travel_Rarely;441;Research & Development;8;1;Other;3;Male;39;1;2;Healthcare Representative;1;Married;2552;7288;3;;No;13;;3;;1;9;4;3;1;7;0;7
37;No;Travel_Rarely;501;Research & Development;15;2;Medical;2;Female;95;3;2;Healthcare Representative;4;Married;3629;21653;0;Y;Yes;13;30.0;1;800.0;1;10;6;3;3;7;8;1
42;No;Travel_Frequently;711;Research & Development;5;4;Life Sciences;2;Male;42;3;3;Healthcare Representative;1;Married;6895;22792;4;;No;12;30.0;3;800.0;2;9;4;3;0;2;0;2
36;No;Travel_Frequently;390;Research & Development;1;4;Life Sciences;4;Female;32;1;2;Healthcare Representative;3;Divorced;3755;17056;2;Y;Yes;13;30.0;4;;1;12;3;3;8;3;1;2
35;No;Travel_Rarely;995;Research & Development;2;1;Life Sciences;1;Female;87;3;2;Healthcare Representative;4;Divorced;4788;24483;1;;No;19;30.0;4;800.0;1;6;2;4;3;4;1;3
32;No;Travel_Rarely;170;Research & Development;1;4;Life Sciences;2;Male;78;4;2;Healthcare Representative;1;Married;2439;9364;2;Y;No;15;;4;;1;10;4;3;4;0;2;2
29;No;Travel_Rarely;827;Research & Development;1;4;Life Sciences;2;Male;33;4;2;Healthcare Representative;4;Single;6623;19383;0;Y;No;13;30.0;3;;0;10;2;2;0;7;1;8
28;No;Travel_Frequently;1238;Research & Development;1;1;Life Sciences;3;Male;74;2;3;Healthcare Representative;3;Married;4898;3395;3;Y;No;23;;4;800.0;1;25;5;2;4;15;14;4
28;No;Travel_Rarely;447;Research & Development;5;3;Life Sciences;2;ND;85;4;2;Healthcare Representative;2;Single;4779;15530;3;Y;No;12;40.0;1;;0;11;2;1;8;2;1;2
43;No;Travel_Frequently;726;Research & Development;29;1;Life Sciences;4;Female;93;1;2;Healthcare Representative;3;Divorced;5562;21143;8;;No;17;30.0;4;;2;11;2;3;5;0;1;6
49;No;Travel_Frequently;1492;Research & Development;20;4;Technical Degree;1;Male;61;3;3;Healthcare Representative;4;Married;5130;26542;4;;No;20;40.0;4;800.0;1;14;3;3;10;10;11;1
56;No;Travel_Rarely;1223;Research & Development;8;3;Technical Degree;3;Female;59;3;3;Healthcare Representative;3;Divorced;4257;8202;1;Y;No;13;30.0;2;;3;17;3;3;2;14;12;8
41;No;Non-Travel;136;Research & Development;1;3;Life Sciences;1;Male;89;3;2;Healthcare Representative;1;Married;2107;6225;0;Y;No;12;30.0;1;800.0;1;6;2;2;1;3;0;2
48;No;Travel_Rarely;791;Research & Development;2;2;Medical;3;Male;38;4;2;Healthcare Representative;2;Married;5381;9931;1;;No;24;30.0;4;800.0;1;8;2;3;1;7;3;7
36;No;Travel_Rarely;1225;Research & Development;2;4;Life Sciences;4;Female;61;3;2;Healthcare Representative;1;Divorced;5238;4761;2;Y;No;11;30.0;1;800.0;1;16;3;4;1;0;0;0
48;No;Non-Travel;1137;Research & Development;21;1;Life Sciences;4;Male;51;3;2;Healthcare Representative;4;Married;16885;19170;1;;Yes;25;40.0;4;800.0;1;10;3;1;5;6;0;7
32;Yes;Non-Travel;1366;Research & Development;24;2;Technical Degree;2;Male;72;2;3;Healthcare Representative;1;Single;4465;12355;1;Y;No;12;30.0;1;;0;10;2;2;3;7;1;9
45;No;Travel_Rarely;1046;Research & Development;10;3;Technical Degree;4;Male;100;2;3;Healthcare Representative;4;Single;3697;2755;6;;No;15;;4;;0;20;3;3;10;3;1;3
35;No;Travel_Rarely;1303;Research & Development;7;2;Life Sciences;4;ND;36;3;2;Healthcare Representative;3;Divorced;7632;18079;1;;No;20;;3;;3;9;2;3;8;7;2;8
31;No;Travel_Rarely;1040;Research & Development;3;2;Life Sciences;4;Male;79;4;2;Healthcare Representative;1;Divorced;7547;26308;6;Y;No;20;30.0;1;800.0;1;13;3;3;1;4;0;4
53;No;Travel_Rarely;1202;Research & Development;2;1;Medical;2;Male;89;4;2;Healthcare Representative;3;Divorced;16598;13888;5;Y;No;20;30.0;2;;3;15;2;3;9;11;11;8
27;No;Travel_Rarely;657;Research & Development;27;3;Medical;2;Male;66;3;2;Healthcare Representative;3;Married;38989;25549;4;;No;12;30.0;1;;1;11;3;2;9;7;1;1
29;No;Travel_Rarely;970;Research & Development;8;2;Medical;2;Male;96;3;2;Healthcare Representative;3;Single;7988;7360;3;Y;No;11;30.0;4;800.0;0;10;2;3;10;1;4;3
35;No;Travel_Rarely;1276;Research & Development;16;3;Life Sciences;4;Male;72;3;3;Healthcare Representative;3;Married;2705;14295;4;Y;Yes;12;30.0;3;800.0;0;10;2;3;5;7;0;0
36;No;Travel_Rarely;1485;Research & Development;25;2;Life Sciences;3;Male;71;3;3;Healthcare Representative;3;Married;6646;3449;3;Y;No;21;30.0;2;800.0;1;13;3;3;17;4;0;5
36;No;Non-Travel;461;Research & Development;1;3;Life Sciences;4;Male;70;4;2;Healthcare Representative;3;Single;6146;23060;8;;Yes;12;30.0;4;800.0;0;10;2;4;7;2;0;2
31;No;Travel_Rarely;1473;Research & Development;8;4;Other;3;Male;74;3;2;Healthcare Representative;3;Divorced;8346;2227;4;Y;Yes;14;30.0;4;800.0;0;8;2;3;5;2;0;2
48;No;Travel_Rarely;717;Research & Development;13;4;Life Sciences;3;Female;34;3;2;Healthcare Representative;2;Single;4051;9697;6;Y;No;14;30.0;4;;0;19;2;3;9;7;0;9
44;No;Non-Travel;994;Research & Development;7;4;Life Sciences;2;Male;87;3;3;Healthcare Representative;2;Single;3708;15322;7;Y;No;19;30.0;4;;0;18;5;3;5;6;4;0
43;No;Travel_Rarely;538;Research & Development;1;4;Technical Degree;1;Male;66;3;3;Healthcare Representative;2;Divorced;7677;20933;1;;No;12;30.0;1;800.0;3;10;3;3;1;8;7;7
38;No;Travel_Rarely;1091;Research & Development;1;2;Technical Degree;3;Male;90;2;4;Healthcare Representative;3;Single;6553;17810;7;;Yes;12;;4;800.0;0;25;3;3;1;1;0;7
26;Yes;Travel_Rarely;534;Research & Development;20;3;Life Sciences;1;Male;66;3;3;Healthcare Representative;3;Married;2305;22908;3;;No;12;30.0;1;800.0;0;12;3;3;3;0;0;0
50;No;Travel_Frequently;943;Research & Development;9;3;Life Sciences;4;ND;86;3;3;Healthcare Representative;4;Divorced;6796;5494;0;Y;No;11;30.0;4;;1;10;2;2;4;7;1;6
36;No;Travel_Rarely;1299;Research & Development;27;3;Medical;3;Male;94;3;2;Healthcare Representative;3;Married;5810;16577;6;Y;No;13;30.0;2;800.0;2;17;2;2;10;7;7;7
42;No;Travel_Rarely;1442;Research & Development;9;3;Medical;4;Male;46;2;3;Healthcare Representative;2;Single;5087;17654;1;Y;No;14;30.0;2;800.0;0;9;2;4;0;7;7;7
46;No;Travel_Frequently;404;Research & Development;2;4;Technical Degree;3;Female;98;3;2;Healthcare Representative;4;Single;10527;6163;1;Y;No;11;30.0;4;;0;14;3;4;2;11;4;11
25;No;Travel_Rarely;1395;Research & Development;24;4;Medical;2;Male;48;4;3;Healthcare Representative;4;Married;4031;3458;3;;No;15;30.0;3;800.0;0;11;5;3;2;3;1;2
33;No;Travel_Rarely;330;Research & Development;17;1;Life Sciences;3;Male;65;2;3;Healthcare Representative;3;Married;2496;24608;0;Y;No;18;30.0;1;800.0;1;20;3;2;1;9;1;9
36;No;Travel_Rarely;750;Research & Development;12;3;Life Sciences;2;Male;47;3;2;Healthcare Representative;1;Divorced;5916;10748;2;Y;No;12;30.0;2;800.0;1;15;1;3;1;4;7;7
33;No;Non-Travel;1146;Research & Development;15;4;Medical;3;Male;34;3;2;Healthcare Representative;4;Divorced;2008;16542;5;Y;No;18;30.0;2;800.0;1;9;2;3;1;1;1;2
52;No;Non-Travel;334;Research & Development;24;2;Life Sciences;3;ND;83;4;3;Healthcare Representative;4;Divorced;4258;23402;3;Y;Yes;16;30.0;2;;1;12;2;1;4;3;1;4
36;No;Travel_Frequently;1128;Research & Development;13;3;Medical;2;ND;95;4;2;Healthcare Representative;1;Married;38989;5696;5;Y;No;18;40.0;3;;2;10;2;2;9;0;0;0
36;No;Travel_Frequently;669;Research & Development;1;3;Medical;4;Male;97;2;2;Healthcare Representative;1;Single;9998;25755;0;Y;No;20;;3;800.0;0;14;2;3;5;9;4;9
28;No;Travel_Frequently;1194;Research & Development;1;3;Life Sciences;3;Male;52;3;2;Healthcare Representative;4;Divorced;11591;9060;4;Y;No;17;30.0;4;;1;12;2;3;2;3;0;3
32;No;Travel_Rarely;305;Research & Development;16;3;Life Sciences;3;Female;58;4;2;Healthcare Representative;3;Married;4200;9128;3;Y;No;16;40.0;3;;1;10;2;3;5;0;1;7
30;No;Travel_Frequently;516;Research & Development;8;5;Life Sciences;4;Female;69;3;2;Healthcare Representative;3;Single;2422;22049;2;Y;Yes;17;;1;;0;14;2;3;3;0;0;0
39;No;Non-Travel;1001;Research & Development;7;3;Life Sciences;3;Male;43;3;3;Healthcare Representative;1;Married;6782;9262;8;;No;16;30.0;1;;1;10;2;2;5;0;0;0
34;No;Travel_Rarely;370;Research & Development;1;4;Medical;3;Female;92;1;3;Healthcare Representative;4;Divorced;5714;20467;3;Y;No;20;40.0;3;;1;19;3;4;1;0;0;0
58;No;Travel_Rarely;771;Research & Development;1;2;Life Sciences;2;Male;45;2;2;Healthcare Representative;3;Single;2479;14120;1;Y;No;12;40.0;2;;0;4;4;2;1;3;1;2
31;No;Travel_Rarely;309;Human Resources;2;3;Human Resources;3;Female;82;3;1;Human Resources;2;Married;3978;19655;4;Y;No;14;30.0;3;800.0;0;6;0;3;2;0;1;2
36;No;Travel_Frequently;1213;Human Resources;2;1;Human Resources;2;Female;94;2;2;Human Resources;4;Single;7525;4223;1;Y;No;21;30.0;4;;0;10;2;2;15;1;0;8
39;No;Non-Travel;552;Human Resources;4;3;Human Resources;3;Male;60;1;2;Human Resources;2;Married;6472;20794;6;Y;No;19;30.0;2;;1;10;2;3;9;2;1;2
45;Yes;Travel_Rarely;920;Human Resources;20;2;Medical;4;Male;69;3;1;Human Resources;2;Married;10851;6889;0;Y;Yes;11;30.0;3;800.0;0;6;2;3;7;1;1;4
28;No;Travel_Rarely;888;Human Resources;10;4;Human Resources;3;Male;71;3;2;Human Resources;3;Married;4908;14814;3;;No;11;;3;;0;10;3;3;4;3;1;2
36;No;Travel_Rarely;1239;Human Resources;8;2;Other;3;Male;89;3;2;Human Resources;2;Divorced;4950;12832;2;Y;No;13;30.0;3;;0;19;4;2;4;0;4;7
30;No;Travel_Frequently;818;Human Resources;6;2;Medical;2;Female;52;3;1;Human Resources;3;Married;19419;25657;8;;No;17;30.0;4;800.0;0;7;3;2;4;2;2;2
40;No;Travel_Rarely;602;Human Resources;1;5;Human Resources;1;Male;37;3;2;Human Resources;4;Married;16823;10503;4;Y;Yes;11;30.0;3;800.0;0;14;3;3;1;7;0;2
35;No;Travel_Rarely;648;Human Resources;11;3;Life Sciences;3;Male;56;2;2;Human Resources;2;Married;5098;21833;4;Y;No;11;30.0;4;800.0;2;14;5;4;10;9;1;8
31;Yes;Travel_Frequently;426;Human Resources;17;4;Life Sciences;2;Male;58;3;1;Human Resources;3;Divorced;2791;22808;0;;Yes;11;30.0;2;800.0;1;8;4;2;2;7;1;0
29;No;Travel_Rarely;1041;Human Resources;13;3;Human Resources;3;ND;36;3;1;Human Resources;2;Married;2642;25527;4;Y;No;13;30.0;2;800.0;1;8;6;3;1;2;0;4
29;No;Travel_Rarely;1240;Human Resources;9;3;Human Resources;3;Female;48;3;2;Human Resources;4;Married;2514;13982;0;;Yes;19;40.0;4;;0;12;1;1;7;9;4;7
30;No;Travel_Rarely;397;Human Resources;19;4;Medical;3;Female;88;3;3;Human Resources;2;Married;6577;6729;2;Y;No;15;30.0;3;;1;16;6;4;5;7;7;1
43;No;Travel_Rarely;1398;Human Resources;8;2;Medical;4;Female;96;4;1;Human Resources;2;Single;66387;24609;9;Y;No;18;30.0;4;;0;8;2;3;16;2;0;2
34;No;Travel_Rarely;141;Human Resources;3;3;Human Resources;3;Male;44;4;2;Human Resources;2;Married;2661;18767;9;Y;No;15;30.0;3;800.0;1;12;2;1;2;3;3;6
36;No;Travel_Rarely;788;Human Resources;24;4;Medical;2;ND;36;3;1;Human Resources;2;Single;38989;8318;1;;No;16;30.0;1;800.0;0;6;3;3;9;3;0;4
56;Yes;Travel_Rarely;350;Human Resources;13;3;Human Resources;1;Male;56;2;1;Human Resources;1;Divorced;2587;3157;4;;Yes;15;30.0;4;;3;4;3;3;4;2;2;0
34;No;Travel_Rarely;280;Human Resources;1;2;Life Sciences;3;Male;43;3;1;Human Resources;4;Divorced;9888;10494;1;Y;No;15;40.0;2;;1;3;3;3;14;2;2;2
21;No;Travel_Frequently;1146;Human Resources;26;4;Life Sciences;3;Female;31;3;3;Human Resources;4;Single;2625;16642;1;;Yes;16;40.0;3;800.0;0;9;2;3;2;0;1;7
36;No;Travel_Frequently;1112;Human Resources;1;4;Life Sciences;1;Female;50;2;2;Human Resources;3;Single;4647;26894;4;Y;No;11;40.0;2;;0;10;3;4;6;2;0;2
31;No;Travel_Frequently;897;Human Resources;10;3;Medical;1;Female;59;3;1;Human Resources;4;Married;2789;2097;0;;No;14;30.0;4;;1;3;3;3;2;2;2;1
34;No;Non-Travel;179;Human Resources;2;5;Medical;4;Female;79;4;2;Human Resources;1;Married;2029;12858;7;Y;No;16;40.0;1;;1;10;3;4;5;3;0;3
43;No;Travel_Frequently;147;Human Resources;2;3;Human Resources;2;Male;99;3;1;Human Resources;3;Married;31161;8429;1;Y;No;13;40.0;4;;1;5;3;3;7;4;1;4
38;No;Travel_Rarely;330;Human Resources;1;3;Life Sciences;3;Male;46;3;1;Human Resources;3;Divorced;11510;15428;0;Y;No;21;30.0;1;;1;6;3;4;11;3;1;3
24;No;Travel_Rarely;528;Human Resources;8;4;Technical Degree;3;Male;100;3;1;Human Resources;3;Single;2127;7108;1;;No;17;40.0;2;800.0;0;6;2;1;1;4;1;4
43;Yes;Travel_Rarely;1337;Human Resources;22;3;Human Resources;1;Male;58;2;1;Human Resources;2;Married;3539;19555;1;Y;No;12;30.0;1;800.0;0;1;3;3;9;0;0;0
29;Yes;Travel_Rarely;1107;Human Resources;9;4;Technical Degree;1;Male;52;3;1;Human Resources;3;Married;8620;3072;1;;No;15;30.0;4;800.0;0;2;3;3;10;2;2;2
54;Yes;Travel_Rarely;240;Human Resources;22;1;Human Resources;4;Female;58;1;1;Human Resources;3;Married;10739;11585;1;Y;No;11;30.0;3;800.0;1;1;2;3;10;0;0;0
22;No;Travel_Rarely;106;Human Resources;2;3;Human Resources;1;Male;62;2;2;Human Resources;1;Married;2328;17822;3;Y;No;12;30.0;4;800.0;0;9;2;3;4;2;1;0
35;No;Travel_Rarely;433;Human Resources;1;3;Human Resources;3;Female;37;4;1;Human Resources;3;Married;11591;6004;1;Y;No;13;30.0;4;800.0;1;7;3;4;2;6;5;0
45;No;Non-Travel;352;Human Resources;6;1;Medical;4;Female;87;2;1;Human Resources;2;Married;5593;15434;1;Y;No;11;30.0;4;;0;1;2;3;15;0;0;0
50;Yes;Travel_Rarely;1376;Human Resources;1;2;Medical;2;Male;91;2;3;Human Resources;1;Married;13973;2326;9;Y;No;14;30.0;4;;1;24;2;3;12;6;3;6
35;No;Travel_Frequently;829;Human Resources;3;2;Human Resources;3;Male;88;3;1;Human Resources;4;Married;4249;2243;0;;No;19;30.0;3;;1;4;3;1;9;2;0;2
36;No;Travel_Rarely;991;Human Resources;1;2;Life Sciences;4;Male;44;3;1;Human Resources;1;Single;19419;22957;6;;No;12;30.0;3;;0;10;2;4;4;6;5;7
36;No;Travel_Rarely;945;Human Resources;5;2;Medical;2;Female;80;3;2;Human Resources;2;Divorced;9278;10425;8;;Yes;22;30.0;4;800.0;1;16;3;3;5;2;0;2
36;No;Travel_Rarely;1075;Human Resources;3;2;Human Resources;4;Male;57;3;1;Human Resources;2;Divorced;5237;22650;3;Y;Yes;11;30.0;3;800.0;1;7;3;4;7;3;0;3
21;Yes;Travel_Rarely;489;Human Resources;2;2;Technical Degree;1;Male;52;2;1;Human Resources;4;Single;3447;18437;1;;No;12;30.0;3;;0;1;2;4;3;0;0;0
36;No;Travel_Rarely;1380;Research & Development;9;2;Life Sciences;3;Female;75;3;1;Laboratory Technician;4;Single;7978;6319;1;;No;12;30.0;3;800.0;0;2;2;3;10;2;2;1
20;No;Travel_Frequently;1240;Research & Development;2;4;Life Sciences;4;Female;33;3;1;Laboratory Technician;1;Divorced;2323;19715;1;;No;13;30.0;4;800.0;1;1;3;3;2;0;0;0
34;No;Travel_Rarely;571;Research & Development;12;2;Other;4;Male;78;3;1;Laboratory Technician;4;Single;2008;13672;1;;No;13;;3;;0;5;2;4;1;2;1;4
38;No;Travel_Frequently;285;Research & Development;29;3;Medical;2;Female;86;3;2;Laboratory Technician;3;Married;27247;17491;4;Y;No;13;30.0;1;;2;10;4;3;6;7;7;7
37;No;Travel_Rarely;594;Research & Development;2;2;Medical;3;Male;75;2;1;Laboratory Technician;2;Married;6502;15963;4;Y;No;14;30.0;2;800.0;1;9;2;2;5;1;0;5
31;Yes;Non-Travel;935;Research & Development;3;3;Life Sciences;1;Male;89;3;1;Laboratory Technician;1;Married;9936;14669;4;Y;No;12;30.0;3;;0;10;2;4;9;2;1;2
55;No;Travel_Frequently;1297;Research & Development;5;2;Life Sciences;4;Male;53;3;1;Laboratory Technician;4;Single;10976;19826;0;Y;Yes;14;30.0;3;800.0;0;6;4;2;3;4;0;2
27;No;Non-Travel;329;Research & Development;1;2;Life Sciences;4;Male;98;2;1;Laboratory Technician;1;Married;4621;16193;1;Y;No;12;;3;;1;4;4;3;3;2;3;2
36;No;Travel_Rarely;185;Research & Development;23;4;Medical;2;Female;91;1;1;Laboratory Technician;3;Married;5855;9696;0;Y;No;16;30.0;2;;1;6;2;4;9;4;0;3
51;No;Travel_Rarely;1092;Research & Development;9;3;Life Sciences;3;Female;60;2;1;Laboratory Technician;2;Divorced;4936;26551;1;Y;No;11;30.0;3;;3;1;2;3;7;0;0;0
45;Yes;Travel_Rarely;1320;Research & Development;8;1;Medical;4;Female;93;2;1;Laboratory Technician;3;Single;5006;20586;1;;Yes;11;30.0;1;800.0;0;5;3;3;5;4;1;2
