,BusinessTravel,Department,EducationField,JobRole,MaritalStatus,AgeBin,AttritionCat,DistanceFromHomeBin,EducationCat,EnvironmentSatisfactionCat,GenderCat,JobInvolvementCat,JobSatisfactionCat,MonthlyIncomeBin,NumCompaniesWorkedBin,OverTimeCat,PercentSalaryHikeBin,RelationshipSatisfactionCat,StockOptionLevelCat,TotalWorkingYearsBin,TrainingTimesLastYearBin,WorkLifeBalanceCat,YearsWithCurrManagerBin
43,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,High_JobInv,High_JobSat,low_Inc,none_Comp,Yes_OT,high_PSH,Medium_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
44,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Very High_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,low_PSH,High_RelSat,2_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,4-9 years_YWCM
45,Travel_Rarely,Research & Development,Other,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,near_Dist,Below College,High_Sat,Male,Low_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,low_PSH,High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
46,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,College,Medium_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,none_Comp,Yes_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
47,Travel_Frequently,Research & Development,Life Sciences,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,High_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,low_PSH,High_RelSat,2_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
48,Travel_Frequently,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,Low_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
49,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Below College,Low_Sat,Female,High_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
50,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,Very High_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
51,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,Very High_JobInv,Very High_JobSat,low_Inc,none_Comp,No_OT,low_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
52,Travel_Frequently,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,near_Dist,Below College,High_Sat,Male,Medium_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,4-9 years_YWCM
53,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Medium_Sat,Male,Very High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,0-3 years_YWCM
54,Travel_Frequently,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,far_Dist,Below College,Very High_Sat,Female,Low_JobInv,High_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Very High_RelSat,2_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
55,Travel_Frequently,Research & Development,Technical Degree,Healthcare Representative,Married,"[48.0, 58.04)_Age",No_Attr,far_Dist,Master,Low_Sat,Male,High_JobInv,Very High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
56,Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Divorced,"[48.0, 58.04)_Age",No_Attr,near_Dist,Bachelor,High_Sat,Female,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Medium_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
57,Non-Travel,Research & Development,Life Sciences,Healthcare Representative,Married,"[38.0, 48.0)_Age",No_Attr,near_Dist,Bachelor,Low_Sat,Male,High_JobInv,Low_JobSat,low_Inc,none_Comp,No_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
58,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[48.0, 58.04)_Age",No_Attr,near_Dist,College,High_Sat,Male,Very High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
59,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,Very High_Sat,Female,High_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
60,Non-Travel,Research & Development,Life Sciences,Healthcare Representative,Married,"[48.0, 58.04)_Age",No_Attr,far_Dist,Below College,Very High_Sat,Male,High_JobInv,Very High_JobSat,medium_Inc,some_Comp,Yes_OT,high_PSH,Very High_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Bad_WorkLifeBal,4-9 years_YWCM
61,Non-Travel,Research & Development,Technical Degree,Healthcare Representative,Single,"[28.0, 38.0)_Age",Yes_Attr,far_Dist,College,Medium_Sat,Male,Medium_JobInv,Low_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
62,Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Single,"[38.0, 48.0)_Age",No_Attr,medium_Dist,Bachelor,Very High_Sat,Male,Medium_JobInv,Very High_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Very High_RelSat,0_StockLevel,more 20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
63,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,Very High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,high_PSH,High_RelSat,3_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
64,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,Very High_Sat,Male,Very High_JobInv,Low_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Low_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
65,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Divorced,"[48.0, 58.04)_Age",No_Attr,near_Dist,Below College,Medium_Sat,Male,Very High_JobInv,High_JobSat,medium_Inc,many_Comp,No_OT,high_PSH,Medium_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
66,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Married,"[18.0, 28.0)_Age",No_Attr,far_Dist,Bachelor,Medium_Sat,Male,High_JobInv,High_JobSat,high_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,1_StockLevelRelSat,less 10 years_TWY,yes_TrainTimesLY,Good_WorkLifeBal,0-3 years_YWCM
67,Travel_Rarely,Research & Development,Medical,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,College,Medium_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
68,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,medium_Dist,Bachelor,Very High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
69,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Married,"[28.0, 38.0)_Age",No_Attr,far_Dist,College,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,none_Comp,No_OT,high_PSH,Medium_RelSat,1_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
70,Non-Travel,Research & Development,Life Sciences,Healthcare Representative,Single,"[28.0, 38.0)_Age",No_Attr,near_Dist,Bachelor,Very High_Sat,Male,Very High_JobInv,High_JobSat,low_Inc,many_Comp,Yes_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Best_WorkLifeBal,0-3 years_YWCM
71,Travel_Rarely,Research & Development,Other,Healthcare Representative,Divorced,"[28.0, 38.0)_Age",No_Attr,near_Dist,Master,High_Sat,Male,High_JobInv,High_JobSat,low_Inc,some_Comp,Yes_OT,low_PSH,Very High_RelSat,0_StockLevel,less 10 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
72,Travel_Rarely,Research & Development,Life Sciences,Healthcare Representative,Single,"[48.0, 58.04)_Age",No_Attr,medium_Dist,Master,High_Sat,Female,High_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,low_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,4-9 years_YWCM
73,Non-Travel,Research & Development,Life Sciences,Healthcare Representative,Single,"[38.0, 48.0)_Age",No_Attr,near_Dist,Master,Medium_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,many_Comp,No_OT,high_PSH,Very High_RelSat,0_StockLevel,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
74,Travel_Rarely,Research & Development,Technical Degree,Healthcare Representative,Divorced,"[38.0, 48.0)_Age",No_Attr,near_Dist,Master,Low_Sat,Male,High_JobInv,Medium_JobSat,low_Inc,some_Comp,No_OT,low_PSH,Low_RelSat,3_StockLevelRelSat,10-20 years_TWY,yes_TrainTimesLY,Better_WorkLifeBal,0-3 years_YWCM
