Age;Attrition;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PercentSalaryHike;RelationshipSatisfaction;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsWithCurrManager;Stagnation;KmeansLabels;DbscanLabels;HierarchicalLabels
35;0;Travel_Rarely;Research & Development;7;2;Life Sciences;4;0;3;Healthcare Representative;3;Divorced;7632;1;0;20;3;3;9;2;3;8;8;14;2;-1;0
31;0;Travel_Rarely;Research & Development;3;2;Life Sciences;4;0;4;Healthcare Representative;1;Divorced;7547;6;0;20;1;1;13;3;3;1;1;0;5;0;0
53;0;Travel_Rarely;Research & Development;2;1;Medical;2;0;4;Healthcare Representative;3;Divorced;16598;5;0;20;2;3;15;2;3;9;8;81;1;-1;3
27;0;Travel_Rarely;Research & Development;27;3;Medical;2;0;3;Healthcare Representative;3;Married;38989;4;0;12;1;1;9;3;2;9;1;7;3;-1;2
29;0;Travel_Rarely;Research & Development;8;2;Medical;2;0;3;Healthcare Representative;3;Single;7988;3;0;11;4;0;10;2;3;10;3;4;2;-1;0
35;0;Travel_Rarely;Research & Development;16;3;Life Sciences;4;0;3;Healthcare Representative;3;Married;2705;4;1;12;3;0;10;2;3;5;0;0;2;3;0
36;0;Travel_Rarely;Research & Development;25;2;Life Sciences;3;0;3;Healthcare Representative;3;Married;6646;0;0;21;2;1;13;3;3;13;5;0;2;-1;0
36;0;Non-Travel;Research & Development;1;3;Life Sciences;4;0;4;Healthcare Representative;3;Single;6146;8;1;12;4;0;10;2;4;7;2;0;2;-1;0
31;0;Travel_Rarely;Research & Development;8;4;Other;3;0;3;Healthcare Representative;3;Divorced;8346;4;1;14;4;0;8;2;3;5;2;0;2;3;0
48;0;Travel_Rarely;Research & Development;13;4;Life Sciences;3;1;3;Healthcare Representative;2;Single;4051;6;0;14;4;0;19;2;3;9;9;0;2;-1;0
44;0;Non-Travel;Research & Development;7;4;Life Sciences;2;0;3;Healthcare Representative;2;Single;3708;7;0;19;4;0;18;5;3;5;0;20;2;-1;0
43;0;Travel_Rarely;Research & Development;1;4;Technical Degree;1;0;3;Healthcare Representative;2;Divorced;7677;1;0;12;1;3;10;3;3;1;1;1;5;0;0
38;0;Travel_Rarely;Research & Development;1;2;Technical Degree;3;0;2;Healthcare Representative;3;Single;6553;7;1;12;4;0;20;3;3;1;1;0;5;0;0
26;1;Travel_Rarely;Research & Development;20;3;Life Sciences;1;0;3;Healthcare Representative;3;Married;2305;3;0;12;1;0;8;3;3;3;0;0;5;1;0
50;0;Travel_Frequently;Research & Development;9;3;Life Sciences;4;0;3;Healthcare Representative;4;Divorced;6796;0;0;11;4;1;10;2;2;4;4;4;5;-1;0
36;0;Travel_Rarely;Research & Development;27;3;Medical;3;0;3;Healthcare Representative;3;Married;5810;6;0;13;2;2;17;2;2;10;7;49;4;-1;0
42;0;Travel_Rarely;Research & Development;9;3;Medical;4;0;2;Healthcare Representative;2;Single;5087;1;0;14;2;0;9;2;4;0;0;0;5;5;0
46;0;Travel_Frequently;Research & Development;2;4;Technical Degree;3;1;3;Healthcare Representative;4;Single;10527;1;0;11;4;0;14;3;4;2;2;4;5;-1;0
25;0;Travel_Rarely;Research & Development;24;4;Medical;2;0;4;Healthcare Representative;4;Married;4031;3;0;15;3;0;7;5;3;2;2;2;5;2;0
33;0;Travel_Rarely;Research & Development;17;1;Life Sciences;3;0;2;Healthcare Representative;3;Married;2496;0;0;18;1;1;15;3;2;1;1;1;5;0;0
36;0;Travel_Rarely;Research & Development;12;3;Life Sciences;2;0;3;Healthcare Representative;1;Divorced;5916;2;0;12;2;1;15;1;3;1;1;1;5;0;0
33;0;Non-Travel;Research & Development;15;4;Medical;3;0;3;Healthcare Representative;4;Divorced;2008;5;0;18;2;1;9;2;3;1;1;1;5;0;0
52;0;Non-Travel;Research & Development;24;2;Life Sciences;3;0;4;Healthcare Representative;4;Divorced;4258;3;1;16;2;1;12;2;1;4;4;3;5;4;0
36;0;Travel_Frequently;Research & Development;13;3;Medical;2;0;4;Healthcare Representative;1;Married;38989;5;0;18;3;2;10;2;2;9;0;0;3;-1;2
36;0;Travel_Frequently;Research & Development;1;3;Medical;4;0;2;Healthcare Representative;1;Single;9998;0;0;20;3;0;14;2;3;5;5;20;2;-1;0
28;0;Travel_Frequently;Research & Development;1;3;Life Sciences;3;0;3;Healthcare Representative;4;Divorced;11591;4;0;17;4;1;10;2;3;2;2;0;5;-1;0
32;0;Travel_Rarely;Research & Development;16;3;Life Sciences;3;1;4;Healthcare Representative;3;Married;4200;3;0;16;3;1;10;2;3;5;5;0;2;3;0
30;0;Travel_Frequently;Research & Development;8;5;Life Sciences;4;1;3;Healthcare Representative;3;Single;2422;2;1;17;1;0;12;2;3;3;0;0;5;1;0
39;0;Non-Travel;Research & Development;7;3;Life Sciences;3;0;3;Healthcare Representative;1;Married;6782;8;0;16;1;1;10;2;2;5;0;0;2;3;0
34;0;Travel_Rarely;Research & Development;1;4;Medical;3;1;1;Healthcare Representative;4;Divorced;5714;3;0;20;3;1;16;3;4;1;0;0;5;0;0
58;0;Travel_Rarely;Research & Development;1;2;Life Sciences;2;0;2;Healthcare Representative;3;Single;2479;1;0;12;2;0;4;4;2;1;1;1;5;0;0
31;0;Travel_Rarely;Human Resources;2;3;Human Resources;3;1;3;Human Resources;2;Married;3978;4;0;14;3;0;6;0;3;2;2;0;5;2;0
36;0;Travel_Frequently;Human Resources;2;1;Human Resources;2;1;2;Human Resources;4;Single;7525;0;0;21;4;0;10;2;2;10;8;0;2;-1;0
39;0;Non-Travel;Human Resources;4;3;Human Resources;3;0;1;Human Resources;2;Married;6472;6;0;19;2;1;10;2;3;9;2;2;2;-1;0
45;1;Travel_Rarely;Human Resources;20;2;Medical;4;0;3;Human Resources;2;Married;10851;0;1;11;3;0;6;2;3;6;4;1;2;-1;0
28;0;Travel_Rarely;Human Resources;10;4;Human Resources;3;0;3;Human Resources;3;Married;4908;3;0;11;3;0;10;3;3;4;2;3;5;4;0
36;0;Travel_Rarely;Human Resources;8;2;Other;3;0;3;Human Resources;2;Divorced;4950;2;0;13;3;0;18;4;2;4;4;0;5;4;0
30;0;Travel_Frequently;Human Resources;6;2;Medical;2;1;3;Human Resources;3;Married;19419;8;0;17;4;0;7;3;2;4;2;4;0;-1;0
40;0;Travel_Rarely;Human Resources;1;5;Human Resources;1;0;3;Human Resources;4;Married;16823;4;1;11;3;0;14;3;3;1;1;0;0;-1;2
35;0;Travel_Rarely;Human Resources;11;3;Life Sciences;3;0;2;Human Resources;2;Married;5098;4;0;11;4;2;14;5;4;10;8;9;2;-1;0
31;1;Travel_Frequently;Human Resources;17;4;Life Sciences;2;0;3;Human Resources;3;Divorced;2791;0;1;11;2;1;8;4;2;2;0;2;5;2;0
29;0;Travel_Rarely;Human Resources;13;3;Human Resources;3;0;3;Human Resources;2;Married;2642;4;0;13;2;1;8;6;3;1;1;0;5;0;0
29;0;Travel_Rarely;Human Resources;9;3;Human Resources;3;1;3;Human Resources;4;Married;2514;0;1;19;4;0;11;1;1;7;7;28;4;-1;0
30;0;Travel_Rarely;Human Resources;19;4;Medical;3;1;3;Human Resources;2;Married;6577;2;0;15;3;1;12;6;4;5;1;25;4;-1;0
43;0;Travel_Rarely;Human Resources;8;2;Medical;4;1;4;Human Resources;2;Single;66387;0;0;18;4;0;8;2;3;8;2;0;3;-1;2
34;0;Travel_Rarely;Human Resources;3;3;Human Resources;3;0;4;Human Resources;2;Married;2661;9;0;15;3;1;12;2;1;2;2;4;5;2;0
36;0;Travel_Rarely;Human Resources;24;4;Medical;2;0;3;Human Resources;2;Single;38989;0;0;16;1;0;6;3;3;6;4;0;3;-1;2
56;1;Travel_Rarely;Human Resources;13;3;Human Resources;1;0;2;Human Resources;1;Divorced;2587;4;1;15;4;3;4;3;3;4;0;4;5;4;0
34;0;Travel_Rarely;Human Resources;1;2;Life Sciences;3;0;3;Human Resources;4;Divorced;9888;0;0;15;2;1;3;3;3;3;2;4;5;-1;0
21;0;Travel_Frequently;Human Resources;26;4;Life Sciences;3;1;3;Human Resources;4;Single;2625;1;1;16;3;0;3;2;3;2;2;0;5;2;0
36;0;Travel_Frequently;Human Resources;1;4;Life Sciences;1;1;2;Human Resources;3;Single;4647;4;0;11;2;0;10;3;4;6;2;0;2;-1;0
31;0;Travel_Frequently;Human Resources;10;3;Medical;1;1;3;Human Resources;4;Married;2789;0;0;14;4;1;3;3;3;2;1;4;5;2;0
34;0;Non-Travel;Human Resources;2;5;Medical;4;1;4;Human Resources;1;Married;2029;7;0;16;1;1;10;3;4;5;3;0;2;3;0
43;0;Travel_Frequently;Human Resources;2;3;Human Resources;2;0;3;Human Resources;3;Married;31161;0;0;13;4;1;5;3;3;5;4;4;0;-1;2
38;0;Travel_Rarely;Human Resources;1;3;Life Sciences;3;0;3;Human Resources;3;Divorced;11510;0;0;21;1;1;6;3;4;6;3;3;2;-1;0
24;0;Travel_Rarely;Human Resources;8;4;Technical Degree;3;0;3;Human Resources;3;Single;2127;1;0;17;2;0;6;2;1;1;1;1;5;0;0
43;1;Travel_Rarely;Human Resources;22;3;Human Resources;1;0;2;Human Resources;2;Married;3539;0;0;12;1;0;1;3;3;1;0;0;5;0;0
29;1;Travel_Rarely;Human Resources;9;4;Technical Degree;1;0;3;Human Resources;3;Married;8620;0;0;15;4;0;2;3;3;2;2;4;5;-1;0
54;1;Travel_Rarely;Human Resources;22;1;Human Resources;4;1;1;Human Resources;3;Married;10739;0;0;11;3;1;1;2;3;1;0;0;5;0;0
22;0;Travel_Rarely;Human Resources;2;3;Human Resources;1;0;2;Human Resources;1;Married;2328;3;0;12;4;0;4;2;3;4;0;2;5;4;0
35;0;Travel_Rarely;Human Resources;1;3;Human Resources;3;1;4;Human Resources;3;Married;11591;1;0;13;4;1;7;3;4;2;0;4;5;-1;0
45;0;Non-Travel;Human Resources;6;1;Medical;4;1;2;Human Resources;2;Married;5593;0;0;11;4;0;1;2;3;1;0;0;5;0;0
50;1;Travel_Rarely;Human Resources;1;2;Medical;2;0;2;Human Resources;1;Married;13973;9;0;14;4;1;24;2;3;12;6;18;4;-1;0
35;0;Travel_Frequently;Human Resources;3;2;Human Resources;3;0;3;Human Resources;4;Married;4249;0;0;19;3;1;4;3;1;4;2;0;5;4;0
36;0;Travel_Rarely;Human Resources;1;2;Life Sciences;4;0;3;Human Resources;1;Single;19419;6;0;12;3;0;10;2;4;4;4;16;0;-1;2
36;0;Travel_Rarely;Human Resources;5;2;Medical;2;1;3;Human Resources;2;Divorced;9278;8;1;22;4;1;16;3;3;5;2;0;2;-1;0
36;0;Travel_Rarely;Human Resources;3;2;Human Resources;4;0;3;Human Resources;2;Divorced;5237;3;1;11;3;1;7;3;4;7;3;0;2;-1;0
21;1;Travel_Rarely;Human Resources;2;2;Technical Degree;1;0;2;Human Resources;4;Single;3447;0;0;12;3;0;1;2;4;1;0;0;5;0;0
36;0;Travel_Rarely;Research & Development;9;2;Life Sciences;3;1;3;Laboratory Technician;4;Single;7978;0;0;12;3;0;2;2;3;2;1;4;5;-1;0
20;0;Travel_Frequently;Research & Development;2;4;Life Sciences;4;1;3;Laboratory Technician;1;Divorced;2323;0;0;13;4;1;1;3;3;1;0;0;5;0;0
34;0;Travel_Rarely;Research & Development;12;2;Other;4;0;3;Laboratory Technician;4;Single;2008;1;0;13;3;0;5;2;4;1;1;1;5;0;0
38;0;Travel_Frequently;Research & Development;29;3;Medical;2;1;3;Laboratory Technician;3;Married;27247;4;0;13;1;2;10;4;3;6;6;36;4;-1;2
37;0;Travel_Rarely;Research & Development;2;2;Medical;3;0;2;Laboratory Technician;2;Married;6502;4;0;14;2;1;9;2;2;5;5;0;2;3;0
31;1;Non-Travel;Research & Development;3;3;Life Sciences;1;0;3;Laboratory Technician;1;Married;9936;4;0;12;3;0;10;2;4;9;2;2;2;-1;0
55;0;Travel_Frequently;Research & Development;5;2;Life Sciences;4;0;3;Laboratory Technician;4;Single;10976;0;1;14;3;0;6;4;2;3;2;0;5;-1;0
27;0;Non-Travel;Research & Development;1;2;Life Sciences;4;0;2;Laboratory Technician;1;Married;4621;1;0;12;3;1;4;4;3;3;2;6;5;1;0
36;0;Travel_Rarely;Research & Development;23;4;Medical;2;1;1;Laboratory Technician;3;Married;5855;0;0;16;2;1;6;2;4;6;3;0;2;-1;0
51;0;Travel_Rarely;Research & Development;9;3;Life Sciences;3;1;2;Laboratory Technician;2;Divorced;4936;0;0;11;3;3;1;2;3;1;0;0;5;0;0
45;1;Travel_Rarely;Research & Development;8;1;Medical;4;1;2;Laboratory Technician;3;Single;5006;1;1;11;1;0;5;3;3;5;2;4;2;3;0
34;1;Travel_Rarely;Research & Development;8;1;Medical;3;0;3;Laboratory Technician;1;Married;2768;0;1;17;3;0;1;3;3;1;0;0;5;0;0
38;0;Travel_Frequently;Research & Development;8;1;Life Sciences;4;0;4;Laboratory Technician;4;Married;5321;0;0;19;4;0;1;1;3;1;1;0;5;0;0
36;0;Non-Travel;Research & Development;7;1;Medical;1;1;2;Laboratory Technician;4;Divorced;7677;6;0;14;3;3;8;6;3;1;1;0;5;0;0
34;0;Travel_Rarely;Research & Development;2;1;Other;4;1;3;Laboratory Technician;3;Divorced;6029;6;1;19;3;1;7;3;2;2;2;0;5;-1;0
47;1;Travel_Rarely;Research & Development;9;3;Medical;2;0;3;Laboratory Technician;1;Single;70301;0;1;11;3;0;4;3;2;4;0;0;3;-1;2
53;0;Travel_Rarely;Research & Development;2;3;Life Sciences;3;0;2;Laboratory Technician;4;Single;2450;7;0;15;2;0;6;4;2;2;2;4;5;2;0
45;0;Travel_Rarely;Research & Development;6;2;Other;4;0;2;Laboratory Technician;3;Married;2348;0;0;11;2;1;5;2;3;5;4;0;2;3;0
38;0;Travel_Frequently;Research & Development;2;3;Life Sciences;4;0;2;Laboratory Technician;4;Married;2610;0;1;12;2;1;2;2;3;2;2;4;5;2;0
45;1;Travel_Rarely;Research & Development;9;4;Life Sciences;4;0;3;Laboratory Technician;1;Single;4805;3;0;14;2;0;15;3;1;8;0;4;2;-1;0
51;0;Travel_Frequently;Research & Development;29;5;Life Sciences;4;1;3;Laboratory Technician;4;Single;2838;1;0;11;4;0;10;6;3;7;7;21;4;-1;0
40;0;Travel_Rarely;Research & Development;1;2;Medical;2;0;2;Laboratory Technician;3;Divorced;9705;1;0;12;3;3;1;2;2;1;0;0;5;0;0
34;0;Travel_Rarely;Research & Development;8;5;Life Sciences;1;0;1;Laboratory Technician;3;Married;9725;0;0;19;4;3;3;2;3;3;2;2;5;-1;0
31;0;Travel_Rarely;Research & Development;11;3;Medical;1;1;3;Laboratory Technician;3;Single;46817;0;0;18;1;0;8;2;3;8;2;0;3;-1;2
27;0;Travel_Rarely;Research & Development;3;2;Life Sciences;1;1;3;Laboratory Technician;4;Divorced;11591;5;0;22;1;1;7;2;3;2;0;0;5;-1;0
30;0;Travel_Rarely;Research & Development;8;1;Life Sciences;3;0;3;Laboratory Technician;3;Married;3491;0;0;11;1;1;8;2;3;8;7;0;2;-1;0
43;0;Travel_Frequently;Research & Development;9;4;Life Sciences;4;0;3;Laboratory Technician;4;Married;2437;3;0;23;2;2;10;4;3;1;1;0;5;0;0
32;1;Travel_Rarely;Research & Development;7;2;Technical Degree;4;1;3;Laboratory Technician;3;Married;5228;8;0;11;4;1;14;2;1;13;8;81;1;-1;3
34;0;Travel_Rarely;Research & Development;19;2;Medical;3;0;3;Laboratory Technician;4;Married;54645;8;1;15;3;1;15;2;4;13;7;6;3;-1;1
27;0;Travel_Rarely;Research & Development;4;1;Life Sciences;1;1;2;Laboratory Technician;4;Married;35075;0;0;17;4;0;6;5;2;6;4;6;3;-1;2
36;0;Travel_Rarely;Research & Development;3;3;Life Sciences;3;0;3;Laboratory Technician;4;Married;3420;4;0;15;3;1;9;2;1;6;4;3;2;-1;0
34;0;Travel_Rarely;Research & Development;2;1;Technical Degree;3;0;3;Laboratory Technician;4;Married;7083;0;0;14;3;1;3;3;3;3;1;2;5;1;0
56;0;Travel_Rarely;Research & Development;7;4;Life Sciences;4;0;3;Laboratory Technician;4;Divorced;7260;3;0;22;4;1;10;2;2;6;6;6;2;-1;0
50;0;Travel_Rarely;Research & Development;10;4;Life Sciences;3;0;3;Laboratory Technician;4;Single;2380;0;0;19;1;0;9;5;3;1;1;1;5;0;0
35;0;Travel_Rarely;Research & Development;1;4;Life Sciences;2;0;3;Laboratory Technician;1;Divorced;7677;3;0;16;2;1;8;2;3;1;1;1;5;0;0
31;1;Travel_Rarely;Research & Development;1;2;Life Sciences;2;1;2;Laboratory Technician;1;Married;11031;0;1;11;4;1;1;2;3;1;0;0;5;0;0
29;1;Travel_Rarely;Research & Development;3;3;Medical;1;1;3;Laboratory Technician;1;Married;11591;5;0;13;3;1;6;3;3;2;2;0;5;-1;0
36;1;Travel_Frequently;Research & Development;9;4;Life Sciences;4;0;3;Laboratory Technician;1;Married;5689;4;0;17;3;1;11;2;2;10;7;0;2;-1;0
